"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Autenticação","Login","Login com senha inválida","0","0","1","0","0"
"Usuários","CRUD de Usuários","Buscar usuário com ID inexistente","0","0","1","0","0"
"Usuários","CRUD de Usuários","Fluxo completo de usuário","0","0","1","0","0"
"Usuários","CRUD de Usuários","Deletar usuário com sucesso","0","0","1","0","0"
"Produtos","CRUD de Produtos","Buscar produto com ID inexistente","0","0","1","0","0"
"Autenticação","Login","Login com email inválido","0","0","1","0","0"
"Autenticação","Login","Login com credenciais válidas","0","0","1","0","0"
"Usuários","CRUD de Usuários","Criar usuário sem email","0","0","1","0","0"
"Usuários","CRUD de Usuários","Listar todos os usuários","0","0","1","0","0"
"Usuários","CRUD de Usuários","Criar usuário duplicado","0","0","1","0","0"
"Produtos","CRUD de Produtos","Fluxo completo de produto","0","0","1","0","0"
"Autenticação","Login","Token deve ser válido","0","0","1","0","0"
"Produtos","CRUD de Produtos","Listar produtos e validar schema","0","0","1","0","0"
"Produtos","CRUD de Produtos","Criar produto sem autenticação","0","0","1","0","0"
"Autenticação","Login","Login com campos vazios","0","0","1","0","0"
"Produtos","CRUD de Produtos","Buscar produto por ID","0","0","1","0","0"
"Produtos","CRUD de Produtos","Atualizar produto com sucesso","0","0","1","0","0"
"Produtos","CRUD de Produtos","Criar produto com sucesso","0","0","1","0","0"
"Usuários","CRUD de Usuários","Atualizar usuário com sucesso","0","0","1","0","0"
"Usuários","CRUD de Usuários","Criar usuário com sucesso","0","0","1","0","0"
"Usuários","CRUD de Usuários","Buscar usuário por ID","0","0","1","0","0"
"Produtos","CRUD de Produtos","Deletar produto com sucesso","0","0","1","0","0"
