"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 23 06:25:55 UTC 2026","Sun Aug 23 06:25:55 UTC 2026","125","","com.valdeci.apitests.tests.products.ProductTests","","com.valdeci.apitests.tests.products.ProductTests","shouldGetProductById","shouldGetProductById()",""
"passed","Sun Aug 23 06:25:56 UTC 2026","Sun Aug 23 06:25:56 UTC 2026","127","","com.valdeci.apitests.tests.products.ProductTests","","com.valdeci.apitests.tests.products.ProductTests","shouldDeleteProductSuccessfully","shouldDeleteProductSuccessfully()",""
"passed","Sun Aug 23 06:25:53 UTC 2026","Sun Aug 23 06:25:53 UTC 2026","139","","com.valdeci.apitests.tests.users.UserTests","","com.valdeci.apitests.tests.users.UserTests","shouldGetUserById","shouldGetUserById()",""
"passed","Sun Aug 23 06:25:52 UTC 2026","Sun Aug 23 06:25:52 UTC 2026","128","","com.valdeci.apitests.tests.users.UserTests","","com.valdeci.apitests.tests.users.UserTests","shouldReturn400WhenEmailIsMissing","shouldReturn400WhenEmailIsMissing()",""
"passed","Sun Aug 23 06:25:55 UTC 2026","Sun Aug 23 06:25:56 UTC 2026","120","","com.valdeci.apitests.tests.products.ProductTests","","com.valdeci.apitests.tests.products.ProductTests","shouldReturn400WithInvalidProductId","shouldReturn400WithInvalidProductId()",""
"passed","Sun Aug 23 06:25:55 UTC 2026","Sun Aug 23 06:25:55 UTC 2026","138","","com.valdeci.apitests.tests.products.ProductTests","","com.valdeci.apitests.tests.products.ProductTests","shouldListProductsAndValidateSchema","shouldListProductsAndValidateSchema()",""
"passed","Sun Aug 23 06:25:52 UTC 2026","Sun Aug 23 06:25:52 UTC 2026","140","","com.valdeci.apitests.tests.users.UserTests","","com.valdeci.apitests.tests.users.UserTests","shouldReturn400WhenEmailAlreadyExists","shouldReturn400WhenEmailAlreadyExists()",""
"passed","Sun Aug 23 06:25:51 UTC 2026","Sun Aug 23 06:25:52 UTC 2026","734","","com.valdeci.apitests.tests.users.UserTests","","com.valdeci.apitests.tests.users.UserTests","shouldCreateUserSuccessfully","shouldCreateUserSuccessfully()",""
"passed","Sun Aug 23 06:25:54 UTC 2026","Sun Aug 23 06:25:54 UTC 2026","137","","com.valdeci.apitests.tests.auth.AuthTests","","com.valdeci.apitests.tests.auth.AuthTests","tokenShouldBeValid","tokenShouldBeValid()","Token retornado deve ser utilizável em endpoints protegidos"
"passed","Sun Aug 23 06:25:53 UTC 2026","Sun Aug 23 06:25:53 UTC 2026","133","","com.valdeci.apitests.tests.users.UserTests","","com.valdeci.apitests.tests.users.UserTests","shouldUpdateUserSuccessfully","shouldUpdateUserSuccessfully()",""
"passed","Sun Aug 23 06:25:53 UTC 2026","Sun Aug 23 06:25:53 UTC 2026","143","","com.valdeci.apitests.tests.users.UserTests","","com.valdeci.apitests.tests.users.UserTests","shouldReturn400WithInvalidUserId","shouldReturn400WithInvalidUserId()",""
"passed","Sun Aug 23 06:25:52 UTC 2026","Sun Aug 23 06:25:53 UTC 2026","444","","com.valdeci.apitests.tests.users.UserTests","","com.valdeci.apitests.tests.users.UserTests","shouldGetAllUsersAndValidateSchema","shouldGetAllUsersAndValidateSchema()",""
"passed","Sun Aug 23 06:25:53 UTC 2026","Sun Aug 23 06:25:53 UTC 2026","129","","com.valdeci.apitests.tests.users.UserTests","","com.valdeci.apitests.tests.users.UserTests","shouldDeleteUserSuccessfully","shouldDeleteUserSuccessfully()",""
"passed","Sun Aug 23 06:25:56 UTC 2026","Sun Aug 23 06:25:56 UTC 2026","605","","com.valdeci.apitests.tests.products.ProductTests","","com.valdeci.apitests.tests.products.ProductTests","shouldExecuteFullProductLifecycle","shouldExecuteFullProductLifecycle()",""
"passed","Sun Aug 23 06:25:54 UTC 2026","Sun Aug 23 06:25:54 UTC 2026","132","","com.valdeci.apitests.tests.auth.AuthTests","","com.valdeci.apitests.tests.auth.AuthTests","shouldReturn401WithWrongPassword","shouldReturn401WithWrongPassword()","Deve retornar 401 ao tentar login com senha incorreta"
"passed","Sun Aug 23 06:25:53 UTC 2026","Sun Aug 23 06:25:54 UTC 2026","617","","com.valdeci.apitests.tests.users.UserTests","","com.valdeci.apitests.tests.users.UserTests","shouldExecuteFullUserLifecycle","shouldExecuteFullUserLifecycle()",""
"passed","Sun Aug 23 06:25:56 UTC 2026","Sun Aug 23 06:25:56 UTC 2026","121","","com.valdeci.apitests.tests.products.ProductTests","","com.valdeci.apitests.tests.products.ProductTests","shouldUpdateProductSuccessfully","shouldUpdateProductSuccessfully()",""
"passed","Sun Aug 23 06:25:55 UTC 2026","Sun Aug 23 06:25:55 UTC 2026","125","","com.valdeci.apitests.tests.products.ProductTests","","com.valdeci.apitests.tests.products.ProductTests","shouldReturn401WhenCreatingProductWithoutToken","shouldReturn401WhenCreatingProductWithoutToken()",""
"passed","Sun Aug 23 06:25:55 UTC 2026","Sun Aug 23 06:25:55 UTC 2026","196","","com.valdeci.apitests.tests.products.ProductTests","","com.valdeci.apitests.tests.products.ProductTests","shouldCreateProductSuccessfully","shouldCreateProductSuccessfully()",""
"passed","Sun Aug 23 06:25:54 UTC 2026","Sun Aug 23 06:25:54 UTC 2026","140","","com.valdeci.apitests.tests.auth.AuthTests","","com.valdeci.apitests.tests.auth.AuthTests","shouldLoginWithValidCredentials","shouldLoginWithValidCredentials()","Deve realizar login com sucesso e retornar token Bearer"
"passed","Sun Aug 23 06:25:54 UTC 2026","Sun Aug 23 06:25:54 UTC 2026","123","","com.valdeci.apitests.tests.auth.AuthTests","","com.valdeci.apitests.tests.auth.AuthTests","shouldReturn401WithInvalidEmail","shouldReturn401WithInvalidEmail()","Deve retornar 401 ao tentar login com email não cadastrado"
